"Sr. No","Vertical","Service Line","Cluster","SubCluster","Account","Location","Block","Category","Frequency","Dwmsparameter","Formula","Uom","Ideal Direction","Expected Entry Date","Actual Entry Date","Numerator","Num1 Decription","Num1","Num2 Decription","Num2","Num3 Decription","Num3","Denominator","Deno1 Decription","Deno1","Deno2 Decription","Deno2","Deno3 Decription","Deno3","Achieved","Calculated Value","Target Achieved","Status"
1,"M&M AFS","WAREHOUSE","CENTRAL",,"Farm Division RSO_ Indore","INDORE","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
2,"M&M AFS","WAREHOUSE","SOUTH",,"Swaraj Division RSO_ Salem","SALEM","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
3,"M&M AFS","WAREHOUSE","SOUTH",,"Swaraj Division RSO_ Sambhalpur","SAMBHALPUR","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
4,"M&M AFS","WAREHOUSE","NORTH",,"Swaraj Division RSO_ Suartgarh","SUARTGARH","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
5,"M&M AFS","WAREHOUSE","NORTH",,"Swaraj Division RSO_ Varanasi","VARANASI","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
6,"M&M AFS","WAREHOUSE","SOUTH",,"Swaraj Division RSO_ Warangal","WARANGAL","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
7,"M&M AFS","WAREHOUSE","WEST1",,"Farm Division RSO_ Anand","ANAND","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"105.000","PENDING"
8,"M&M AFS","WAREHOUSE","EAST",,"Farm Division RSO_ Asansol","ASANSOL","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
9,"M&M AFS","WAREHOUSE","EAST",,"Farm Division RSO_ Bargarh","BARGARH","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
10,"M&M AFS","WAREHOUSE","SOUTH",,"Farm Division RSO_ Dharwad","DHARWAD","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
